"id_hebcal","days_from_nearest_heb_cal","days_from_nearest_heb_cal_signed"
13,30,-30
14,23,23
15,15,-15
28,23,23
29,21,-21
36,25,25
38,11,11
46,2,2
46,16,16
48,12,12
50,10,10
51,3,-3
64,10,10
64,19,19
64,28,28
65,16,-16
65,11,-11
72,6,6
72,11,11
72,14,14
74,7,7
74,11,11
82,10,10
82,12,12
83,3,-3
84,7,7
85,2,-2
87,0,0
95,0,0
100,6,6
100,11,11
101,26,-26
101,17,-17
108,26,26
109,32,-32
109,13,-13
109,6,-6
109,3,-3
109,1,-1
110,3,3
110,9,9
110,14,14
111,2,-2
118,11,11
119,13,-13
119,7,-7
119,2,-2
120,11,11
120,18,18
120,26,26
121,25,-25
121,17,-17
121,12,-12
121,6,-6
121,4,-4
122,6,6
122,16,16
123,5,-5
126,3,-3
130,0,0
136,6,6
136,12,12
136,23,23
137,29,-29
137,28,-28
137,14,-14
137,12,-12
137,8,-8
137,7,-7
144,8,8
144,16,16
144,35,35
145,29,-29
145,16,-16
145,16,-16
146,13,13
147,12,-12
147,6,-6
154,4,4
154,8,8
154,21,21
155,21,-21
155,17,-17
155,6,-6
155,1,-1
156,2,2
156,4,4
157,29,-29
157,25,-25
157,18,-18
158,10,10
159,13,-13
159,3,-3
159,3,-3
159,3,-3
167,0,0
169,0,0
170,0,0
172,17,17
173,30,-30
173,14,-14
173,12,-12
173,10,-10
173,5,-5
178,0,0
178,0,0
178,0,0
179,0,0
179,0,0
180,9,9
180,19,19
180,19,19
180,22,22
180,30,30
180,30,30
181,21,-21
181,11,-11
181,0,0
182,11,11
183,11,-11
183,9,-9
183,3,-3
185,0,0
190,7,7
192,4,4
192,15,15
193,9,-9
193,5,-5
194,2,2
195,24,-24
195,1,-1
206,0,0
208,3,3
208,13,13
208,17,17
209,16,-16
209,8,-8
209,4,-4
212,0,0
216,18,18
216,29,29
216,31,31
216,49,49
219,5,-5
221,0,0
227,1,-1
228,10,10
228,18,18
228,25,25
230,19,19
244,17,17
244,17,17
245,19,-19
245,3,-3
252,12,12
252,26,26
253,34,-34
271,2,2
272,1,-1
272,1,-1
272,1,-1
272,1,-1
272,1,-1
272,0,0
272,0,0
281,19,-19
290,9,9
336,9,9
339,10,-10
352,17,17
396,3,3
397,18,-18
406,19,19
410,17,17
411,0,0
412,0,0
413,0,0
413,0,0
413,0,0
413,3,3
419,0,0
420,0,0
422,0,0
424,5,5
424,9,9
424,10,10
424,10,10
424,11,11
424,11,11
424,11,11
424,12,12
424,19,19
424,20,20
424,20,20
424,21,21
424,23,23
424,23,23
424,25,25
424,26,26
424,26,26
424,28,28
424,30,30
425,29,-29
425,28,-28
425,27,-27
