"isl_cal_id","days_from_nearest_isl_cal","days_from_nearest_isl_cal_signed"
6,2,2
11,3,-3
14,28,-28
14,16,-16
17,6,-6
17,2,-2
18,2,2
20,4,-4
23,5,-5
24,7,-7
26,1,1
28,12,-12
32,11,-11
32,11,11
33,3,-3
35,2,2
35,11,11
36,7,-7
37,7,7
37,12,12
38,7,7
38,12,12
38,15,15
42,9,-9
42,5,-5
43,0,0
43,2,2
45,1,1
45,12,12
48,6,6
50,1,-1
50,1,-1
51,5,-5
51,5,5
52,2,-2
52,3,3
53,2,-2
53,4,4
54,1,-1
56,2,-2
58,11,11
59,0,0
59,7,7
59,10,10
59,12,12
60,12,-12
60,6,-6
60,1,-1
60,7,7
60,12,12
61,2,-2
62,2,2
63,8,-8
63,2,-2
63,3,3
64,8,8
65,6,-6
65,2,2
65,13,13
66,8,-8
66,3,-3
66,3,3
66,5,5
67,13,-13
67,3,-3
69,5,-5
69,6,6
70,13,-13
70,1,-1
70,5,5
71,4,-4
72,4,-4
72,3,-3
72,11,11
72,13,13
73,13,-13
73,12,-12
73,10,-10
73,10,10
74,9,-9
74,6,-6
75,7,7
75,13,13
76,3,-3
76,3,-3
77,3,-3
78,0,0
78,6,6
79,6,-6
79,2,-2
80,2,2
80,3,3
80,7,7
80,9,9
81,2,-2
81,3,3
82,3,-3
82,1,-1
83,7,7
83,11,11
84,12,-12
85,12,-12
86,4,4
86,6,6
86,9,9
87,4,-4
87,4,-4
87,4,-4
88,14,-14
88,12,-12
88,11,-11
88,11,-11
88,8,8
89,6,-6
90,7,7
90,9,9
90,11,11
90,13,13
91,10,-10
91,0,0
91,0,0
91,0,0
91,1,1
91,1,1
91,11,11
92,6,-6
92,6,-6
92,3,-3
93,2,2
93,2,2
94,8,-8
94,2,2
94,13,13
95,4,-4
96,2,2
96,4,4
96,10,10
97,14,-14
97,2,-2
100,0,0
100,1,1
101,9,-9
102,2,-2
102,2,2
102,10,10
103,4,4
105,2,-2
106,10,-10
106,5,-5
106,5,5
106,9,9
108,4,-4
108,4,4
108,8,8
109,3,-3
110,7,-7
111,1,1
111,3,3
111,21,21
114,21,-21
114,21,-21
114,14,-14
118,3,3
119,14,-14
119,6,-6
119,3,-3
119,1,1
122,1,-1
124,9,9
124,9,9
126,5,5
127,5,-5
128,14,14
129,1,-1
129,10,10
142,12,-12
142,12,12
142,13,13
142,13,13
142,13,13
142,13,13
142,13,13
142,13,13
142,13,13
142,13,13
142,13,13
142,14,14
142,14,14
142,14,14
145,1,1
148,8,-8
151,6,-6
174,14,14
179,11,-11
180,9,9
201,5,5
204,5,-5
208,0,0
209,10,10
214,3,-3
215,1,1
215,2,2
215,3,3
215,3,3
215,3,3
215,6,6
216,9,-9
216,8,-8
216,6,-6
216,1,1
217,2,2
217,3,3
217,3,3
217,4,4
217,4,4
217,4,4
217,5,5
218,6,-6
218,5,-5
218,5,-5
218,4,-4
218,2,-2
218,2,-2
218,0,0
218,1,1
218,1,1
218,3,3
218,5,5
219,5,-5
219,4,-4
219,3,-3
219,3,-3
219,1,-1
219,11,11
219,13,13
219,14,14
219,15,15
220,14,-14
220,14,-14
220,14,-14
220,13,-13
220,12,-12
220,12,-12
220,10,-10
220,7,-7
220,1,1
220,2,2
220,4,4
220,4,4
220,5,5
221,9,9
222,11,-11
222,10,-10
222,9,-9
222,8,-8
222,5,-5
223,7,7
224,4,-4
224,2,-2
224,1,-1
225,2,2
225,3,3
225,7,7
225,7,7
225,10,10
225,14,14
225,15,15
226,14,-14
226,8,-8
226,0,0
227,0,0
227,4,4
227,5,5
227,6,6
227,6,6
227,11,11
228,10,-10
228,10,-10
228,9,-9
228,9,-9
228,6,-6
228,6,-6
228,5,-5
228,4,-4
228,1,1
229,2,2
230,8,-8
230,0,0
230,2,2
230,2,2
230,10,10
231,13,-13
231,13,-13
231,10,-10
231,9,-9
231,9,-9
231,6,-6
231,5,-5
231,1,1
231,3,3
231,8,8
231,9,9
231,9,9
231,9,9
231,14,14
231,14,14
232,12,-12
232,5,-5
232,1,-1
232,2,2
232,6,6
232,7,7
232,8,8
233,12,-12
233,9,-9
233,8,-8
233,8,-8
233,6,-6
233,6,-6
233,5,-5
233,2,-2
233,12,12
234,12,-12
234,11,-11
234,9,-9
234,0,0
234,1,1
235,1,-1
235,0,0
235,0,0
235,1,1
235,1,1
235,2,2
235,2,2
235,2,2
235,3,3
235,3,3
235,3,3
235,4,4
235,4,4
235,5,5
235,5,5
235,6,6
235,7,7
235,7,7
235,8,8
235,8,8
235,8,8
235,9,9
235,10,10
235,11,11
235,11,11
235,14,14
235,14,14
235,14,14
235,14,14
236,14,-14
236,11,-11
236,9,-9
236,9,-9
236,8,-8
236,7,-7
236,3,-3
237,7,7
237,8,8
237,10,10
237,11,11
237,13,13
238,14,-14
238,14,-14
238,12,-12
238,12,-12
238,9,-9
238,7,-7
238,7,-7
238,6,-6
238,4,-4
238,4,-4
238,3,-3
238,2,-2
238,2,-2
238,2,-2
238,1,-1
238,1,1
238,1,1
238,8,8
238,12,12
238,14,14
239,6,-6
239,1,-1
239,1,-1
239,2,2
239,2,2
239,3,3
239,6,6
239,7,7
239,7,7
239,9,9
239,9,9
239,9,9
239,11,11
240,14,-14
240,13,-13
240,7,-7
240,3,-3
240,1,-1
240,0,0
240,0,0
240,1,1
240,2,2
240,2,2
240,3,3
240,3,3
240,4,4
241,4,-4
241,4,-4
241,3,-3
241,3,-3
241,2,-2
241,2,-2
241,2,-2
241,2,-2
241,2,-2
241,1,-1
241,3,3
241,6,6
241,6,6
241,7,7
241,8,8
241,8,8
241,9,9
241,9,9
241,9,9
241,9,9
241,9,9
241,9,9
241,10,10
241,10,10
241,10,10
241,10,10
242,9,-9
242,9,-9
242,9,-9
242,8,-8
242,8,-8
242,8,-8
242,8,-8
242,8,-8
242,8,-8
242,7,-7
242,7,-7
242,7,-7
242,7,-7
242,7,-7
242,7,-7
242,6,-6
242,6,-6
242,6,-6
242,5,-5
242,5,-5
242,3,-3
242,3,-3
242,3,-3
242,3,-3
242,3,-3
242,2,-2
242,2,-2
242,1,-1
242,0,0
242,0,0
242,0,0
242,0,0
242,0,0
243,0,0
243,0,0
243,0,0
243,1,1
243,2,2
243,2,2
243,4,4
243,5,5
243,7,7
243,8,8
243,9,9
243,11,11
243,12,12
243,13,13
243,14,14
243,14,14
243,15,15
243,15,15
243,15,15
243,15,15
244,14,-14
244,14,-14
244,14,-14
244,14,-14
244,13,-13
244,13,-13
244,13,-13
244,13,-13
244,12,-12
244,11,-11
244,11,-11
244,11,-11
244,10,-10
244,9,-9
244,9,-9
244,8,-8
244,7,-7
244,7,-7
244,7,-7
244,6,-6
244,5,-5
244,4,-4
244,4,-4
244,2,-2
244,1,-1
244,1,-1
244,1,1
244,4,4
244,5,5
244,6,6
244,7,7
244,8,8
244,8,8
244,8,8
245,7,-7
245,7,-7
245,7,-7
245,7,-7
245,6,-6
245,6,-6
245,6,-6
245,5,-5
245,4,-4
245,2,-2
245,2,-2
245,2,-2
245,2,-2
245,1,1
245,2,2
245,2,2
245,3,3
245,3,3
245,5,5
245,5,5
246,1,1
246,3,3
247,1,-1
247,1,-1
247,1,1
247,5,5
247,5,5
248,6,-6
248,5,-5
248,4,-4
248,4,-4
248,4,-4
248,1,-1
248,3,3
248,5,5
248,6,6
248,7,7
248,8,8
248,11,11
248,11,11
248,12,12
248,13,13
248,13,13
249,11,-11
249,7,-7
249,2,-2
249,1,1
249,6,6
249,6,6
249,11,11
249,11,11
249,12,12
249,12,12
250,11,-11
250,8,-8
250,6,-6
250,6,-6
250,4,-4
250,3,-3
250,3,-3
250,3,-3
250,0,0
250,1,1
250,2,2
250,4,4
250,10,10
250,10,10
250,10,10
250,14,14
251,8,-8
251,8,-8
251,7,-7
251,6,-6
251,3,-3
251,3,-3
251,2,-2
251,2,-2
251,2,2
251,5,5
251,10,10
251,10,10
251,12,12
252,9,-9
252,9,-9
252,7,-7
252,7,-7
252,7,-7
252,6,-6
252,5,-5
252,3,-3
252,1,1
253,1,-1
253,0,0
253,0,0
253,6,6
253,6,6
253,7,7
253,11,11
253,14,14
254,10,-10
254,10,-10
254,10,-10
254,8,-8
254,8,-8
254,7,-7
254,6,-6
254,2,-2
254,2,-2
254,2,2
254,3,3
254,3,3
255,0,0
255,0,0
255,0,0
255,1,1
255,2,2
255,4,4
255,7,7
255,7,7
255,7,7
255,8,8
256,9,-9
256,9,-9
256,8,-8
256,7,-7
256,6,-6
256,3,-3
256,3,-3
256,1,-1
256,1,1
256,1,1
256,5,5
256,6,6
256,7,7
256,8,8
256,8,8
256,11,11
256,15,15
257,12,-12
257,10,-10
257,9,-9
257,9,-9
257,9,-9
257,9,-9
257,8,-8
257,5,-5
257,8,8
257,8,8
257,14,14
258,10,-10
258,8,-8
258,5,-5
258,3,-3
258,2,-2
258,4,4
258,4,4
259,1,-1
259,4,4
259,5,5
259,6,6
259,7,7
259,8,8
259,9,9
259,10,10
260,1,-1
260,2,2
260,3,3
260,3,3
260,4,4
260,8,8
260,9,9
260,10,10
260,13,13
260,14,14
261,9,-9
261,0,0
261,4,4
261,5,5
261,7,7
261,7,7
261,7,7
261,12,12
261,12,12
261,12,12
261,13,13
262,2,-2
262,2,-2
262,0,0
264,5,-5
264,0,0
264,0,0
265,4,4
265,7,7
265,9,9
265,9,9
265,10,10
265,11,11
265,11,11
265,14,14
266,10,-10
266,9,-9
266,6,-6
266,4,-4
266,4,-4
266,2,2
267,9,9
267,9,9
267,15,15
268,8,-8
268,6,-6
268,5,-5
268,3,-3
268,1,-1
268,1,1
268,7,7
268,11,11
268,11,11
268,12,12
269,6,-6
269,5,-5
269,1,-1
269,0,0
269,1,1
269,2,2
269,2,2
270,1,-1
270,4,4
270,7,7
270,13,13
271,8,-8
271,7,-7
271,6,-6
271,6,-6
271,4,-4
271,4,-4
271,3,-3
271,2,2
271,3,3
272,8,-8
272,8,-8
272,3,-3
272,3,3
273,3,-3
273,1,1
273,5,5
273,6,6
273,7,7
273,10,10
274,13,-13
274,10,-10
274,3,-3
274,2,-2
274,0,0
274,1,1
274,1,1
274,9,9
274,14,14
274,14,14
274,15,15
275,9,-9
276,4,-4
276,2,-2
276,0,0
276,1,1
276,1,1
276,6,6
276,7,7
276,7,7
276,8,8
276,10,10
277,9,-9
277,5,5
277,7,7
277,8,8
277,11,11
277,11,11
277,14,14
277,15,15
278,14,-14
278,13,-13
278,12,-12
278,9,-9
278,8,-8
278,6,-6
278,5,-5
278,1,-1
278,0,0
278,1,1
278,4,4
278,6,6
278,12,12
278,13,13
279,9,-9
279,8,-8
279,3,-3
279,3,-3
279,1,1
279,2,2
279,3,3
279,3,3
279,4,4
279,5,5
280,4,-4
280,2,-2
280,1,1
280,1,1
280,3,3
280,6,6
282,9,-9
282,9,-9
282,8,-8
282,6,-6
282,3,-3
282,2,-2
282,2,-2
282,2,-2
282,1,-1
282,1,-1
282,0,0
282,0,0
282,9,9
282,9,9
282,9,9
282,12,12
282,13,13
283,10,-10
283,9,-9
283,5,-5
283,3,-3
283,3,3
283,4,4
283,5,5
283,7,7
283,9,9
283,11,11
284,14,-14
284,13,-13
284,12,-12
284,12,-12
284,11,-11
284,10,-10
284,9,-9
284,8,-8
284,5,-5
284,3,-3
284,1,1
284,1,1
284,4,4
284,7,7
284,9,9
