"id","year","side_b","adm_1","longitude","latitude","event_clarity","date_prec","where_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","best"
178019,1989,"PFLP","West Bank",35.195547,31.902561,1,1,1,1989-07-10,1989-07-10,0,1,0,0,1
178025,1989,"PFLP","West Bank",35.25,32,1,1,4,1989-11-09,1989-11-09,0,1,0,0,1
178403,1992,"PFLP","Gaza Strip",34.293358,31.349291,1,1,1,1992-06-04,1992-06-04,0,1,0,0,1
178406,1992,"PFLP","Gaza Strip",34.303056,31.344444,1,1,1,1992-07-27,1992-07-27,0,1,0,0,1
178407,1992,"PFLP","Gaza Strip",34.303056,31.344444,1,1,2,1992-11-11,1992-11-11,0,1,0,0,1
178408,1992,"PFLP","Gaza Strip",34.303056,31.344444,1,1,2,1992-12-05,1992-12-05,0,0,1,0,1
178514,1993,"PFLP","Gaza Strip",34.251856,31.28537,1,1,1,1993-07-08,1993-07-08,0,1,0,0,1
178515,1993,"PFLP","Gaza Strip",34.373398,31.425074,1,1,4,1993-09-07,1993-09-07,0,1,0,0,1
176728,1993,"PFLP","Gaza Strip",34.251856,31.28537,1,1,1,1993-09-12,1993-09-12,0,1,0,0,1
178518,1993,"PFLP","Gaza Strip",34.251856,31.28537,1,1,1,1993-12-13,1993-12-13,0,1,0,0,1
178605,1994,"PFLP","Gaza Strip",34.494541,31.53639,1,1,1,1994-03-15,1994-03-15,0,1,0,0,1
178676,1995,"PFLP","West Bank",35.066944,31.869167,1,1,2,1995-01-04,1995-01-04,0,4,0,0,4
176860,2001,"PFLP","West Bank",35.093796,31.529349,1,1,2,2001-07-09,2001-07-09,1,0,0,0,1
176933,2001,"PFLP","West Bank",35.195547,31.902561,1,1,1,2001-08-27,2001-08-27,0,1,0,0,1
176952,2001,"PFLP","Jerusalem district",35.216667,31.783333,1,1,1,2001-10-17,2001-10-17,1,0,0,0,1
177018,2001,"PFLP","Southern district",34.497824,31.47319,1,1,1,2001-10-17,2001-10-17,0,1,0,0,1
178984,2001,"PFLP","West Bank",35.198975,31.719539,1,1,1,2001-10-19,2001-10-19,0,0,0,1,1
178985,2001,"PFLP","West Bank",35.187111,31.71495,1,1,1,2001-10-19,2001-10-19,0,0,0,1,1
178986,2001,"PFLP","West Bank",35.203762,31.704874,1,1,1,2001-10-20,2001-10-20,0,0,3,0,3
178987,2001,"PFLP","West Bank",35.202114,31.715217,1,1,1,2001-10-21,2001-10-21,0,2,0,0,2
178990,2001,"PFLP","West Bank",35.187111,31.71495,1,1,1,2001-10-21,2001-10-21,0,2,0,0,2
178988,2001,"PFLP","West Bank",35.028628,32.310367,1,1,1,2001-10-23,2001-10-23,0,2,0,0,2
178993,2001,"PFLP","West Bank",35.103293,32.032331,1,1,1,2001-10-24,2001-10-24,0,6,0,3,9
178991,2001,"PFLP","West Bank",35.028628,32.310367,1,1,1,2001-10-24,2001-10-24,0,3,0,0,3
188446,2002,"PFLP","West Bank",34.970631,32.189664,1,1,1,2002-04-26,2002-04-26,0,1,0,0,1
190661,2002,"PFLP","West Bank",35.308333,32.174167,1,1,1,2002-06-20,2002-06-20,0,2,0,0,2
190773,2002,"PFLP","West Bank",35.308333,32.174167,1,1,1,2002-07-30,2002-07-30,0,1,0,0,1
190814,2002,"PFLP","West Bank",35.195547,31.902561,1,1,1,2002-08-20,2002-08-20,0,1,0,0,1
190823,2002,"PFLP","West Bank",35.2653,32.192797,1,1,1,2002-08-31,2002-08-31,0,1,0,0,1
192540,2002,"PFLP","Gaza Strip",34.544839,31.5582,1,1,2,2002-11-27,2002-11-27,0,1,0,0,1
192573,2002,"PFLP","Gaza Strip",34.2746,31.35481,1,1,1,2002-12-12,2002-12-12,0,1,0,0,1
177343,2003,"PFLP","West Bank",35.26362,32.219919,1,1,2,2003-02-10,2003-02-10,0,1,0,0,1
177344,2003,"PFLP","Gaza Strip",34.303056,31.344444,1,1,1,2003-04-29,2003-04-29,0,1,0,0,1
177382,2003,"PFLP","Gaza Strip",34.373398,31.425074,1,1,4,2003-10-22,2003-10-22,0,1,0,0,1
188332,2003,"PFLP","West Bank",35.25,32,1,1,4,2003-10-22,2003-10-22,0,0,0,1,1
177547,2004,"PFLP","Gaza Strip",34.243439,31.296999,1,1,1,2004-02-08,2004-02-08,0,1,0,0,1
177548,2004,"PFLP","Gaza Strip",34.5,31.55,1,1,3,2004-05-29,2004-05-29,0,1,0,0,1
177580,2004,"PFLP","West Bank",35.249561,32.230253,1,1,1,2004-07-06,2004-07-06,1,2,2,0,5
177622,2004,"PFLP","Gaza Strip",34.473611,31.474722,1,1,1,2004-08-29,2004-08-29,0,1,0,0,1
177623,2004,"PFLP","Southern district",34.399444,31.374167,1,1,1,2004-11-21,2004-11-21,0,1,0,0,1
179227,2005,"PFLP","West Bank",35.260278,32.455556,1,1,1,2005-09-29,2005-09-29,0,2,0,0,2
177003,2005,"PFLP","West Bank",35.26362,32.219919,1,1,1,2005-12-22,2005-12-22,0,3,0,0,3
179534,2006,"PFLP","Gaza Strip",34.35014,31.417479,1,1,1,2006-09-05,2006-09-05,0,0,0,0,0
