"Subject","Start.Date"
"Erev Purim","1989-03-20"
"Purim","1989-03-21"
"Erev Pesach","1989-04-19"
"Pesach I","1989-04-20"
"Pesach II (CH’’M)","1989-04-21"
"Pesach III (CH’’M)","1989-04-22"
"Pesach IV (CH’’M)","1989-04-23"
"Pesach V (CH’’M)","1989-04-24"
"Pesach VI (CH’’M)","1989-04-25"
"Pesach VII","1989-04-26"
"Erev Shavuot","1989-06-08"
"Shavuot","1989-06-09"
"Erev Tish’a B’Av","1989-08-09"
"Tish’a B’Av","1989-08-10"
"Erev Rosh Hashana","1989-09-29"
"Rosh Hashana 5750","1989-09-30"
"Rosh Hashana II","1989-10-01"
"Erev Yom Kippur","1989-10-08"
"Yom Kippur","1989-10-09"
"Erev Sukkot","1989-10-13"
"Sukkot I","1989-10-14"
"Sukkot II (CH’’M)","1989-10-15"
"Sukkot III (CH’’M)","1989-10-16"
"Sukkot IV (CH’’M)","1989-10-17"
"Sukkot V (CH’’M)","1989-10-18"
"Sukkot VI (CH’’M)","1989-10-19"
"Sukkot VII (Hoshana Raba)","1989-10-20"
"Shmini Atzeret","1989-10-21"
"Chanukah: 1 Candle","1989-12-22"
"Chanukah: 2 Candles","1989-12-23"
"Chanukah: 3 Candles","1989-12-24"
"Chanukah: 4 Candles","1989-12-25"
"Chanukah: 5 Candles","1989-12-26"
"Chanukah: 6 Candles","1989-12-27"
"Chanukah: 7 Candles","1989-12-28"
"Chanukah: 8 Candles","1989-12-29"
"Erev Purim","1990-03-10"
"Purim","1990-03-11"
"Erev Pesach","1990-04-09"
"Pesach I","1990-04-10"
"Pesach II (CH’’M)","1990-04-11"
"Pesach III (CH’’M)","1990-04-12"
"Pesach IV (CH’’M)","1990-04-13"
"Pesach V (CH’’M)","1990-04-14"
"Pesach VI (CH’’M)","1990-04-15"
"Pesach VII","1990-04-16"
"Erev Shavuot","1990-05-29"
"Shavuot","1990-05-30"
"Erev Tish’a B’Av","1990-07-30"
"Tish’a B’Av","1990-07-31"
"Erev Rosh Hashana","1990-09-19"
"Rosh Hashana 5751","1990-09-20"
"Rosh Hashana II","1990-09-21"
"Erev Yom Kippur","1990-09-28"
"Yom Kippur","1990-09-29"
"Erev Sukkot","1990-10-03"
"Sukkot I","1990-10-04"
"Sukkot II (CH’’M)","1990-10-05"
"Sukkot III (CH’’M)","1990-10-06"
"Sukkot IV (CH’’M)","1990-10-07"
"Sukkot V (CH’’M)","1990-10-08"
"Sukkot VI (CH’’M)","1990-10-09"
"Sukkot VII (Hoshana Raba)","1990-10-10"
"Shmini Atzeret","1990-10-11"
"Chanukah: 1 Candle","1990-12-11"
"Chanukah: 2 Candles","1990-12-12"
"Chanukah: 3 Candles","1990-12-13"
"Chanukah: 4 Candles","1990-12-14"
"Chanukah: 5 Candles","1990-12-15"
"Chanukah: 6 Candles","1990-12-16"
"Chanukah: 7 Candles","1990-12-17"
"Chanukah: 8 Candles","1990-12-18"
"Erev Purim","1991-02-27"
"Purim","1991-02-28"
"Erev Pesach","1991-03-29"
"Pesach I","1991-03-30"
"Pesach II (CH’’M)","1991-03-31"
"Pesach III (CH’’M)","1991-04-01"
"Pesach IV (CH’’M)","1991-04-02"
"Pesach V (CH’’M)","1991-04-03"
"Pesach VI (CH’’M)","1991-04-04"
"Pesach VII","1991-04-05"
"Erev Shavuot","1991-05-18"
"Shavuot","1991-05-19"
"Erev Tish’a B’Av","1991-07-20"
"Tish’a B’Av (observed)","1991-07-21"
"Erev Rosh Hashana","1991-09-08"
"Rosh Hashana 5752","1991-09-09"
"Rosh Hashana II","1991-09-10"
"Erev Yom Kippur","1991-09-17"
"Yom Kippur","1991-09-18"
"Erev Sukkot","1991-09-22"
"Sukkot I","1991-09-23"
"Sukkot II (CH’’M)","1991-09-24"
"Sukkot III (CH’’M)","1991-09-25"
"Sukkot IV (CH’’M)","1991-09-26"
"Sukkot V (CH’’M)","1991-09-27"
"Sukkot VI (CH’’M)","1991-09-28"
"Sukkot VII (Hoshana Raba)","1991-09-29"
"Shmini Atzeret","1991-09-30"
"Chanukah: 1 Candle","1991-12-01"
"Chanukah: 2 Candles","1991-12-02"
"Chanukah: 3 Candles","1991-12-03"
"Chanukah: 4 Candles","1991-12-04"
"Chanukah: 5 Candles","1991-12-05"
"Chanukah: 6 Candles","1991-12-06"
"Chanukah: 7 Candles","1991-12-07"
"Chanukah: 8 Candles","1991-12-08"
"Erev Purim","1992-03-18"
"Purim","1992-03-19"
"Erev Pesach","1992-04-17"
"Pesach I","1992-04-18"
"Pesach II (CH’’M)","1992-04-19"
"Pesach III (CH’’M)","1992-04-20"
"Pesach IV (CH’’M)","1992-04-21"
"Pesach V (CH’’M)","1992-04-22"
"Pesach VI (CH’’M)","1992-04-23"
"Pesach VII","1992-04-24"
"Erev Shavuot","1992-06-06"
"Shavuot","1992-06-07"
"Erev Tish’a B’Av","1992-08-08"
"Tish’a B’Av (observed)","1992-08-09"
"Erev Rosh Hashana","1992-09-27"
"Rosh Hashana 5753","1992-09-28"
"Rosh Hashana II","1992-09-29"
"Erev Yom Kippur","1992-10-06"
"Yom Kippur","1992-10-07"
"Erev Sukkot","1992-10-11"
"Sukkot I","1992-10-12"
"Sukkot II (CH’’M)","1992-10-13"
"Sukkot III (CH’’M)","1992-10-14"
"Sukkot IV (CH’’M)","1992-10-15"
"Sukkot V (CH’’M)","1992-10-16"
"Sukkot VI (CH’’M)","1992-10-17"
"Sukkot VII (Hoshana Raba)","1992-10-18"
"Shmini Atzeret","1992-10-19"
"Chanukah: 1 Candle","1992-12-19"
"Chanukah: 2 Candles","1992-12-20"
"Chanukah: 3 Candles","1992-12-21"
"Chanukah: 4 Candles","1992-12-22"
"Chanukah: 5 Candles","1992-12-23"
"Chanukah: 6 Candles","1992-12-24"
"Chanukah: 7 Candles","1992-12-25"
"Chanukah: 8 Candles","1992-12-26"
"Erev Purim","1993-03-06"
"Purim","1993-03-07"
"Erev Pesach","1993-04-05"
"Pesach I","1993-04-06"
"Pesach II (CH’’M)","1993-04-07"
"Pesach III (CH’’M)","1993-04-08"
"Pesach IV (CH’’M)","1993-04-09"
"Pesach V (CH’’M)","1993-04-10"
"Pesach VI (CH’’M)","1993-04-11"
"Pesach VII","1993-04-12"
"Erev Shavuot","1993-05-25"
"Shavuot","1993-05-26"
"Erev Tish’a B’Av","1993-07-26"
"Tish’a B’Av","1993-07-27"
"Erev Rosh Hashana","1993-09-15"
"Rosh Hashana 5754","1993-09-16"
"Rosh Hashana II","1993-09-17"
"Erev Yom Kippur","1993-09-24"
"Yom Kippur","1993-09-25"
"Erev Sukkot","1993-09-29"
"Sukkot I","1993-09-30"
"Sukkot II (CH’’M)","1993-10-01"
"Sukkot III (CH’’M)","1993-10-02"
"Sukkot IV (CH’’M)","1993-10-03"
"Sukkot V (CH’’M)","1993-10-04"
"Sukkot VI (CH’’M)","1993-10-05"
"Sukkot VII (Hoshana Raba)","1993-10-06"
"Shmini Atzeret","1993-10-07"
"Chanukah: 1 Candle","1993-12-08"
"Chanukah: 2 Candles","1993-12-09"
"Chanukah: 3 Candles","1993-12-10"
"Chanukah: 4 Candles","1993-12-11"
"Chanukah: 5 Candles","1993-12-12"
"Chanukah: 6 Candles","1993-12-13"
"Chanukah: 7 Candles","1993-12-14"
"Chanukah: 8 Candles","1993-12-15"
"Erev Purim","1994-02-24"
"Purim","1994-02-25"
"Erev Pesach","1994-03-26"
"Pesach I","1994-03-27"
"Pesach II (CH’’M)","1994-03-28"
"Pesach III (CH’’M)","1994-03-29"
"Pesach IV (CH’’M)","1994-03-30"
"Pesach V (CH’’M)","1994-03-31"
"Pesach VI (CH’’M)","1994-04-01"
"Pesach VII","1994-04-02"
"Erev Shavuot","1994-05-15"
"Shavuot","1994-05-16"
"Erev Tish’a B’Av","1994-07-16"
"Tish’a B’Av","1994-07-17"
"Erev Rosh Hashana","1994-09-05"
"Rosh Hashana 5755","1994-09-06"
"Rosh Hashana II","1994-09-07"
"Erev Yom Kippur","1994-09-14"
"Yom Kippur","1994-09-15"
"Erev Sukkot","1994-09-19"
"Sukkot I","1994-09-20"
"Sukkot II (CH’’M)","1994-09-21"
"Sukkot III (CH’’M)","1994-09-22"
"Sukkot IV (CH’’M)","1994-09-23"
"Sukkot V (CH’’M)","1994-09-24"
"Sukkot VI (CH’’M)","1994-09-25"
"Sukkot VII (Hoshana Raba)","1994-09-26"
"Shmini Atzeret","1994-09-27"
"Chanukah: 1 Candle","1994-11-27"
"Chanukah: 2 Candles","1994-11-28"
"Chanukah: 3 Candles","1994-11-29"
"Chanukah: 4 Candles","1994-11-30"
"Chanukah: 5 Candles","1994-12-01"
"Chanukah: 6 Candles","1994-12-02"
"Chanukah: 7 Candles","1994-12-03"
"Chanukah: 8 Candles","1994-12-04"
"Erev Purim","1995-03-15"
"Purim","1995-03-16"
"Erev Pesach","1995-04-14"
"Pesach I","1995-04-15"
"Pesach II (CH’’M)","1995-04-16"
"Pesach III (CH’’M)","1995-04-17"
"Pesach IV (CH’’M)","1995-04-18"
"Pesach V (CH’’M)","1995-04-19"
"Pesach VI (CH’’M)","1995-04-20"
"Pesach VII","1995-04-21"
"Erev Shavuot","1995-06-03"
"Shavuot","1995-06-04"
"Erev Tish’a B’Av","1995-08-05"
"Tish’a B’Av (observed)","1995-08-06"
"Erev Rosh Hashana","1995-09-24"
"Rosh Hashana 5756","1995-09-25"
"Rosh Hashana II","1995-09-26"
"Erev Yom Kippur","1995-10-03"
"Yom Kippur","1995-10-04"
"Erev Sukkot","1995-10-08"
"Sukkot I","1995-10-09"
"Sukkot II (CH’’M)","1995-10-10"
"Sukkot III (CH’’M)","1995-10-11"
"Sukkot IV (CH’’M)","1995-10-12"
"Sukkot V (CH’’M)","1995-10-13"
"Sukkot VI (CH’’M)","1995-10-14"
"Sukkot VII (Hoshana Raba)","1995-10-15"
"Shmini Atzeret","1995-10-16"
"Chanukah: 1 Candle","1995-12-17"
"Chanukah: 2 Candles","1995-12-18"
"Chanukah: 3 Candles","1995-12-19"
"Chanukah: 4 Candles","1995-12-20"
"Chanukah: 5 Candles","1995-12-21"
"Chanukah: 6 Candles","1995-12-22"
"Chanukah: 7 Candles","1995-12-23"
"Chanukah: 8 Candles","1995-12-24"
"Erev Purim","1996-03-04"
"Purim","1996-03-05"
"Erev Pesach","1996-04-03"
"Pesach I","1996-04-04"
"Pesach II (CH’’M)","1996-04-05"
"Pesach III (CH’’M)","1996-04-06"
"Pesach IV (CH’’M)","1996-04-07"
"Pesach V (CH’’M)","1996-04-08"
"Pesach VI (CH’’M)","1996-04-09"
"Pesach VII","1996-04-10"
"Erev Shavuot","1996-05-23"
"Shavuot","1996-05-24"
"Erev Tish’a B’Av","1996-07-24"
"Tish’a B’Av","1996-07-25"
"Erev Rosh Hashana","1996-09-13"
"Rosh Hashana 5757","1996-09-14"
"Rosh Hashana II","1996-09-15"
"Erev Yom Kippur","1996-09-22"
"Yom Kippur","1996-09-23"
"Erev Sukkot","1996-09-27"
"Sukkot I","1996-09-28"
"Sukkot II (CH’’M)","1996-09-29"
"Sukkot III (CH’’M)","1996-09-30"
"Sukkot IV (CH’’M)","1996-10-01"
"Sukkot V (CH’’M)","1996-10-02"
"Sukkot VI (CH’’M)","1996-10-03"
"Sukkot VII (Hoshana Raba)","1996-10-04"
"Shmini Atzeret","1996-10-05"
"Chanukah: 1 Candle","1996-12-05"
"Chanukah: 2 Candles","1996-12-06"
"Chanukah: 3 Candles","1996-12-07"
"Chanukah: 4 Candles","1996-12-08"
"Chanukah: 5 Candles","1996-12-09"
