"dates","festivities"
"1989-01-08","1st Jumada Al-Akhirah"
"1989-02-06","1st Rajab"
"1989-03-04","Muhammad's Ascension to Heaven"
"1989-03-08","1st Shaban"
"1989-04-06","1st Ramadan"
"1989-05-01","Labor Day"
"1989-05-05","1st Shawwal"
"1989-05-06","Festival of Breaking the Fast"
"1989-06-04","1st Dhul Qadah"
"1989-07-03","1st Dhul Hijjah"
"1989-07-13","Feast of the Sacrifice"
"1989-08-02","1st Muharram"
"1989-08-03","Islamic New Year's Day"
"1989-09-30","1st Rabi ul Awal"
"1989-10-12","Birth of the Prophet"
"1989-10-30","1st Rabi Al-Akhar"
"1989-11-15","Independence Day"
"1989-11-29","1st Jumada Al-Awwal"
"1989-12-28","1st Jumada Al-Akhirah"
"1990-01-27","1st Rajab"
"1990-02-22","Muhammad's Ascension to Heaven"
"1990-02-25","1st Shaban"
"1990-03-27","1st Ramadan"
"1990-04-25","1st Shawwal"
"1990-04-26","Festival of Breaking the Fast"
"1990-05-01","Labor Day"
"1990-05-24","1st Dhul Qadah"
"1990-06-23","1st Dhul Hijjah"
"1990-07-03","Feast of the Sacrifice"
"1990-07-22","1st Muharram"
"1990-07-23","Islamic New Year's Day"
"1990-08-21","1st Safar"
"1990-09-19","1st Rabi ul Awal"
"1990-10-01","Birth of the Prophet"
"1990-10-19","1st Rabi Al-Akhar"
"1990-11-15","Independence Day"
"1990-11-18","1st Jumada Al-Awwal"
"1990-12-17","1st Jumada Al-Akhirah"
"1991-01-16","1st Rajab"
"1991-02-11","Muhammad's Ascension to Heaven"
"1991-02-15","1st Shaban"
"1991-03-16","1st Ramadan"
"1991-04-15","Festival of Breaking the Fast"
"1991-05-01","Labor Day"
"1991-05-14","1st Dhul Qadah"
"1991-06-12","1st Dhul Hijjah"
"1991-06-22","Feast of the Sacrifice"
"1991-07-12","Islamic New Year's Day"
"1991-08-10","1st Safar"
"1991-09-09","1st Rabi ul Awal"
"1991-09-20","Birth of the Prophet"
"1991-10-08","1st Rabi Al-Akhar"
"1991-11-07","1st Jumada Al-Awwal"
"1991-11-15","Independence Day"
"1991-12-06","1st Jumada Al-Akhirah"
"1992-01-05","1st Rajab"
"1992-01-31","Muhammad's Ascension to Heaven"
"1992-02-04","1st Shaban"
"1992-03-05","1st Ramadan"
"1992-04-03","Festival of Breaking the Fast"
"1992-05-01","Labor Day"
"1992-05-03","1st Dhul Qadah"
"1992-06-01","1st Dhul Hijjah"
"1992-06-10","Feast of the Sacrifice"
"1992-07-01","Islamic New Year's Day"
"1992-07-30","1st Safar"
"1992-08-28","1st Rabi ul Awal"
"1992-09-09","Birth of the Prophet"
"1992-09-27","1st Rabi Al-Akhar"
"1992-10-26","1st Jumada Al-Awwal"
"1992-11-15","Independence Day"
"1992-11-24","1st Jumada Al-Akhirah"
"1992-12-24","1st Rajab"
"1993-01-20","Muhammad's Ascension to Heaven"
"1993-01-23","1st Shaban"
"1993-02-21","1st Ramadan"
"1993-03-23","1st Shawwal"
"1993-03-24","Festival of Breaking the Fast"
"1993-04-22","1st Dhul Qadah"
"1993-05-01","Labor Day"
"1993-05-21","1st Dhul Hijjah"
"1993-05-31","Feast of the Sacrifice"
"1993-06-20","Islamic New Year's Day"
"1993-07-20","1st Safar"
"1993-08-18","1st Rabi ul Awal"
"1993-08-29","Birth of the Prophet"
"1993-09-16","1st Rabi Al-Akhar"
"1993-10-16","1st Jumada Al-Awwal"
"1993-11-14","1st Jumada Al-Akhirah"
"1993-11-15","Independence Day"
"1993-12-13","1st Rajab"
"1994-01-09","Muhammad's Ascension to Heaven"
"1994-01-12","1st Shaban"
"1994-02-11","1st Ramadan"
"1994-03-12","1st Shawwal"
"1994-03-13","Festival of Breaking the Fast"
"1994-04-11","1st Dhul Qadah"
"1994-05-01","Labor Day"
"1994-05-11","1st Dhul Hijjah"
"1994-05-20","Feast of the Sacrifice"
"1994-06-09","Islamic New Year's Day"
"1994-07-09","1st Safar"
"1994-08-08","1st Rabi ul Awal"
"1994-08-18","Birth of the Prophet"
"1994-09-06","1st Rabi Al-Akhar"
"1994-10-05","1st Jumada Al-Awwal"
"1994-11-04","1st Jumada Al-Akhirah"
"1994-11-15","Independence Day"
"1994-12-03","1st Rajab"
"1994-12-29","Muhammad's Ascension to Heaven"
"1995-01-01","1st Shaban"
"1995-03-01","1st Shawwal"
"1995-03-02","Festival of Breaking the Fast"
"1995-04-30","1st Dhul Hijjah"
"1995-05-01","Labor Day"
"1995-05-09","Feast of the Sacrifice"
"1995-05-29","1st Muharram"
"1995-05-30","Islamic New Year's Day"
"1995-06-28","1st Safar"
"1995-07-28","1st Rabi ul Awal"
"1995-08-08","Birth of the Prophet"
"1995-08-26","1st Rabi Al-Akhar"
"1995-09-25","1st Jumada Al-Awwal"
"1995-10-24","1st Jumada Al-Akhirah"
"1995-11-15","Independence Day"
"1995-11-23","1st Rajab"
"1995-12-19","Muhammad's Ascension to Heaven"
"1995-12-22","1st Shaban"
"1996-01-20","1st Ramadan"
"1996-02-19","1st Shawwal"
