"Name","Longitude","Latitude","x","y","id"
"Beit Jala Muncipality",35.1883374,31.7151687,2430.35458298806,3692.35950565155,1
"Al-Doha Municipility",35.1815202,31.6947289,2430.14083778523,3689.90389980926,2
"Al- Walaja Local Council",35.1647524,31.7271786,2427.79495462601,3693.28324034679,3
"Nahhalin local council",35.1191703,31.684428,2424.29702742895,3687.56047598325,4
"al-Ubeidiya Municipality",35.2868627,31.7239853,2439.7501447321,3695.22328450741,5
"Dar Salah Townhall",35.2676724,31.7044858,2438.31339465755,3692.63950930653,6
"Umm Salamuna Local Council",35.1659098,31.6451969,2429.70909906207,3683.97045586968,7
"Jorat Al-Sham'a Local Council",35.169786,31.6510406,2429.95837948837,3684.70867819375,8
"Al-Khader Municipility",35.1680993,31.6956683,2428.81361806497,3689.75851701278,9
"Al-Asala Town Hall",35.174586,32.4460198,2412.78169874362,3775.25624318435,10
"Zaid Al Kelane Family Hall",35.1690714,32.4474475,2412.21802630859,3775.31373402534,11
"Qasim Family Hall",35.3486151,32.3515539,2431.70009434163,3767.83515885275,12
"Al Andalus Wedding Hall",35.3838208,32.2772883,2436.77939806132,3760.06045452976,13
"Romain Wedding Party Hall",35.3650415,32.3262053,2433.85938715226,3765.26621252386,14
"Abo Alian Family Hall",35.3650268,32.3227313,2433.93645834779,3764.87066227743,15
"Jad Allah Family Hall",35.3805553,32.2844826,2436.301203584,3760.81645083849,16
"Tamoun Municipality",35.3801302,32.2820678,2436.31466006708,3760.53350757041,17
"Al Masri Family Hall",35.3510524,32.3493671,2431.98487177085,3767.63310492306,18
"Madarseh Family Hall",35.3655799,32.3219974,2434.00647577707,3764.79777027318,19
"Methalon Municipality",35.2716839,32.3476123,2424.3600636626,3765.91487840329,20
"Al-Arda Dewan",35.2004193,32.406264,2416.1647020654,3771.22709871615,21
"قاعة اللؤلؤه للأفراح",35.2307248,32.5130758,2416.68484383905,3783.95014047241,22
"Sadaqa Family Hall",35.2193476,32.3589659,2419.05224337762,3766.20847988544,23
"Abu Mwaish Hall",35.3892962,32.4258402,2433.9454660231,3777.06774633495,24
"Al Abahra Dewan",35.2275908,32.4856698,2417.00011970191,3780.77417090602,25
"Kafar Ra'ee Hall",35.1598156,32.3777034,2412.88694212487,3767.20771464769,26
"Al-Noor Wedding Hall",35.3092018,32.4695304,2425.23098486442,3780.49945605213,27
"قاعة البلد للافراح",35.229055,32.513076,2416.52397151332,3783.9182847594,28
"Al-Frehat Dewan",35.2319514,32.4835346,2417.46844927686,3780.61459915281,29
"Lahloh Family Hall",35.2033817,32.4080162,2416.41116502162,3771.48273301958,30
"قاعة الخليج",35.1125597,31.5403072,2426.80477462041,3671.02680018099,31
"ديوان ال ابوشخيدم",35.090664,31.5521884,2424.4103504762,3671.9707037363,32
"Abu Ali Hall",35.0854686,31.4462604,2426.20945537877,3659.81088586242,33
"صالة الكيلاني",35.2893953,32.3310879,2426.44220161747,3764.37344111058,34
"Obaad Family Hall",35.2209107,32.3594394,2419.19251137747,3766.29209102992,35
"صالات قصر السلطان",35.0736727,31.5045653,2423.79028766715,3666.23086134595,36
"Al Sa'adeh Hall",34.9815116,31.5229039,2414.40281778335,3666.60527223454,37
"Al Nojoom Hall 2",35.1041873,31.5540348,2425.68872681954,3672.43355094806,38
"Al Awfeya' Hall",35.1407955,31.5760958,2428.7760198425,3675.63063248784,39
"Al Jawhara Hall",35.0843548,31.529197,2424.29611810649,3669.23492768911,40
"Al Amleh Hall",35.0292131,31.5962754,2417.46033395876,3675.84442999705,41
"Dubai hall",35.1122248,31.542643,2426.72113508331,3671.28653339311,42
"قاعة السندباد",35.0882993,31.554437,2424.13074879917,3672.18259594573,43
"Al Ghazali Hall",35.1102185,31.5580307,2426.18960331803,3673.00129472572,44
"ديوان العمرو",35.1624656,31.5178625,2432.16344420906,3669.40459597993,45
"Party Hall",35.2158689,32.225893,2421.69555605472,3751.00592530651,46
"Village Council",34.9707254,31.5324479,2413.14443983332,3667.49174850637,47
"ديوان القواسمي",35.0916076,31.5496403,2424.55791933751,3671.69817423631,48
"Al Muna Hall",35.0868413,31.5464847,2424.16193028919,3671.24987122257,49
"Shahen Family Hall",35.2642199,32.2182474,2426.54264193271,3751.0558451095,50
"Al Antadi Family Hall",35.1900891,32.2541387,2418.57218392581,3753.72945336597,51
"Village Council Of Qoseen",35.1830306,32.2383554,2418.24220506821,3751.80024648867,52
"Hanansah Family Hall",35.3704047,32.1931088,2437.38059740985,3750.2234292175,53
"Qasir Al Afrah Hall For Wedding Party",35.2591997,32.2531586,2425.27476428727,3754.93205407257,54
"Tamimi Family Hall",35.2610644,32.2239287,2426.11016511492,3751.64212534867,55
"Al Jaber Hall",35.0143959,31.59873,2415.96323447928,3675.84808460848,56
"Dardock Family Hall",35.2341904,32.2194785,2423.61075801427,3750.62441748535,57
"Qasr Al Naile",35.0819215,31.5284807,2424.07438545837,3669.10796533264,58
"دوان آل الطرايرة",35.1677762,31.5170256,2432.69991137333,3669.40879592945,59
"Al Yaqoot Hall For Wedding Party",35.1885972,32.235975,2418.8334954359,3751.63506842745,60
"Al Aqsa Hall",35.2947634,32.1907426,2430.11401371834,3748.50844609141,61
"Ashour Family Hall",35.2671039,32.2154599,2426.88404611868,3750.79363180322,62
"Abu-Qbeta Hall",35.0891668,31.4456746,2426.58327954504,3659.8130907707,63
"Alrabe Dewan",35.3104953,32.2236006,2430.89839313853,3752.54751493802,64
"Al-Anwar Hall",35.1000906,31.5550238,2425.26768238667,3672.46962579869,65
"Al Whoosh Hall",35.0954067,31.5817223,2424.22843377955,3675.42218006335,66
"Biet Fajjar Local Council",35.1542714,31.625834,2429.00003288254,3681.54714802177,67
"قاعة عطا موسى",35.1630964,31.5172729,2432.23788764959,3669.34926223492,68
"Aza'r Family Hall",35.2887687,32.1032676,2431.49296562551,3738.43976793715,69
"Paradise Hall For Wedding Party",35.242567,32.2193739,2424.42321942397,3750.77183634493,70
"Lehiah Family Hall",35.3470022,32.1227104,2436.69802070829,3741.76338929322,71
"Jabal al Shareef Hall",35.0786364,31.5132289,2424.08601405997,3667.30994924675,72
"Zawata Village Council",35.2759853,32.2224467,2427.58645414142,3751.75779717942,73
"Al Jubo Family Hall",35.0812948,31.5242819,2424.10469787781,3668.61815440424,74
"Family Mohammad Hall",35.1174798,31.4590206,2429.05720585474,3661.86129124185,75
"Mosa Family Hall",35.2767787,32.2197672,2427.72327172108,3751.46805433548,76
"Al Sham Night Hall For Wedding Party",35.2479979,32.2207997,2424.91654621252,3751.0373818093,77
"Al Hajji Family Hall",35.1924233,32.3022808,2417.72185503084,3759.24949755528,78
"Hasoon Family Hall",35.2194107,32.2931986,2420.53224060175,3758.72941729964,79
"Ghaith Family Hall",35.1146912,31.5111669,2427.64844619944,3667.74812790773,80
"Al Firdaws Hall For Wedding Party",35.3304763,32.1813465,2433.78094644722,3748.12096603574,81
"Diwan Al Arabi",35.2658421,32.2200632,2426.65885324738,3751.29333609953,82
"Samarah Family Hall",35.2129742,32.2385409,2421.13297688415,3752.38972507391,83
"Junid Family",35.2208693,32.2245171,2422.20985024886,3750.94440911888,84
"ديوان الرطروط",35.2707872,32.2197335,2427.14452697346,3751.35003699808,85
"Yasin Family Hall",35.2689894,32.251727,2426.25330560001,3754.95574046773,86
"Alawneh Family Hall",35.3099001,32.2232655,2430.84835121293,3752.4980183951,87
"ديوان المناصرة",35.1639834,31.5168409,2432.33388237108,3669.31667957266,88
"Yamien Family Hall",35.2128426,32.2012049,2421.95439787814,3748.13989675806,89
"Salem Village Council",35.3289486,32.2075426,2433.04438484242,3751.07282987171,90
"Al-Amanah Hall",35.0978688,31.5354801,2425.47726172436,3670.20265008816,91
"Tal Al Rabe' Hall",35.1008896,31.5215655,2426.07526184146,3668.67452731969,92
"Abu Thabit Family Hall",35.3720792,32.1923585,2437.55955243329,3750.17011173618,93
"Doghlas Family Hall",35.1946655,32.2979846,2418.03452962105,3758.8034495296,94
"Mlitat Family Hall",35.3356105,32.1762845,2434.3916046729,3747.64301158546,95
"نادي طيور الجنة",35.0865559,31.5566402,2423.91272673871,3672.40091877472,96
"Al Soqur Hall For Wedding Party",35.347698,32.1164431,2436.90613768321,3741.06334544851,97
"Awaiseh Family Hall",35.241711,32.0715192,2427.64276110798,3733.93207798797,98
"Al Sharakeh",35.2690152,32.2492078,2426.31230541249,3754.66962646427,99
"Al Adam Hall",35.0163959,31.599461,2416.14220851177,3675.96850939205,100
"Al Nojoom Hall 1",35.1040839,31.5538574,2425.68251538473,3672.41141800349,101
"Al Ibrahemiah Hall",35.1035388,31.5219065,2426.32625625178,3668.76283235796,102
"Al Kona Hall For Wedding Party",35.2515085,32.1482407,2426.87920106102,3742.84857262212,103
"Beita Municipality",35.2806197,32.1407889,2429.864210944,3742.55455885779,104
"Sandra Hall",34.9509435,31.511072,2411.6776999958,3664.69193454497,105
"Omnia Hall",35.0772838,31.511486,2423.99199531274,3667.08625987982,106
"Al Rashed Hall",35.1064251,31.5499678,2425.99569034449,3672.01224974989,107
"Al Qawasma Hall",35.1084269,31.5270216,2426.6915333413,3669.43663792732,108
"ديوان الشعراوي",35.1008178,31.5583456,2425.26611210321,3672.86146487193,109
"قاعة ابو عمر",35.085955,31.5259888,2424.52208176796,3668.8994620501,110
"AlShaikh Sa'd Local Council",35.2604763,31.738667,2436.85691494279,3696.39610050338,111
"Al Faiha Hall",35.2778743,31.7656155,2437.95315426141,3699.79407743784,112
"Qaser Al Ahlam Hall",35.2411918,31.8520428,2432.47100025385,3708.94063285756,113
"Mais Alreem Hall",35.2250618,31.8530746,2430.88077064192,3708.75308015045,114
"Al Jerjawe Hall",35.1805437,31.8967126,2425.5907664991,3712.87977204262,115
"Al Naseem Hall",35.2780665,31.7662006,2437.9588874033,3699.8643455697,116
"Qaser Al Sultan Hall",35.2327497,31.8555605,2431.57272369677,3709.1814306606,117
"Al Kobra Townhall",35.1050592,32.0316099,2415.28594018479,3726.80787154424,118
"Al jadeera Town Hall",35.1964431,31.8593817,2427.96057788483,3708.93053919221,119
"Dair Dibwan Town Hall",35.2708497,31.9116968,2434.02763023955,3716.29375703487,120
"Al Hada'eq Al mu'llqah Hall",35.2119669,31.8512203,2429.64941204608,3708.29456629442,121
"Almazra'a town hall",35.2771417,32.0018948,2432.62989487616,3726.68080312555,122
"Roses And Diamond Hall",35.2789044,31.764191,2438.08494187033,3699.65136231948,123
"Farhat Al 'umur Hall",35.2088737,31.8303317,2429.81086181273,3705.85818098309,124
"Dura Alqare' Town Hall",35.2282478,31.9566411,2428.8933505162,3720.60251093241,125
"Al Hadae'q Almo'alqa Hall",35.2247388,31.8535953,2430.83785445128,3708.80625273273,126
"Abu Qash town hall",35.1847356,31.94931,2424.83356579929,3718.94528676014,127
"Qatannah Town Hall",35.1225832,31.834256,2421.33859670239,3704.67982870728,128
"Al Noor Hall",35.2440518,31.854474,2432.69502133075,3709.2715310297,129
"Al Sawahra Local Council",35.2756831,31.7440642,2438.21735709331,3697.29836633343,130
"Holiday Hall",35.242194,31.8532832,2432.54089300034,3709.10080992278,131
"Hala Hall",35.2606553,31.9693332,2431.75585639939,3722.6614216607,132
"Al zaytoonah municipality",35.1583576,31.9548866,2422.15062222036,3719.08210871681,133
"Bait Hanena Council",35.2076089,31.8293968,2429.70860285681,3705.72787391357,134
"قاعة أبو كويك",35.2072118,31.8864202,2428.40833435279,3712.21171341783,135
"Bir Nabalah Town Hall",35.1976517,31.8496398,2428.29340722225,3707.84438708215,136
"AJ Hall",35.2614196,31.9787351,2431.62072619828,3723.74611007962,137
"Bani Zaid Townhall",35.1028727,32.0397948,2414.89316588332,3727.69789776104,138
"Ramon Town Hall",35.3004566,31.928726,2436.52337809695,3718.79455233745,139
"Al Ram Local Council",35.2296401,31.8500484,2431.3926696576,3708.49511299195,140
"مجلس محلي عابود",35.0659995,32.0209833,2411.73487877502,3724.86452139071,141
"Beit Dukko Council",35.1344999,31.8583175,2421.96649233521,3707.64241464874,142
"Burqa Hall",35.2521885,31.8951312,2432.58344011984,3714.05417414752,143
"Alqbaibeh Town Hall",35.1372261,31.8397066,2422.64137147893,3705.57543074187,144
"Bait Anan",35.1110926,31.8533184,2419.80278200301,3706.63355039999,145
"Rotana Hall",35.2820364,31.760681,2438.46745765556,3699.31095228996,146
"Beddu Town Hall",35.1470413,31.8355858,2423.68588113066,3705.29100519092,147
"Kharbatha Town Hall",35.0705533,31.9442961,2413.86541323594,3716.22529933358,148
"Abd Alla Grand Hall",35.1299292,31.8363717,2422.00581142648,3705.05867383694,149
"مجلس كفر مالك",35.3091312,31.9909766,2435.97668126115,3726.04626275049,150
"Al Galazon Hall",35.209692,31.9516083,2427.20438987147,3719.67853357277,151
"قاعة الف ليلة وليلة",35.2221917,31.8711937,2430.20061044206,3710.76150875286,152
"Baldna Townhall",35.1036385,32.0387117,2414.99131345819,3727.58909183603,153
"Dana And Lana Hall",35.2420224,31.8532707,2432.52449529012,3709.09614020032,154
"Bait Siera Local Council",35.0439983,31.8874855,2412.53651188799,3709.26366293739,155
"Aljaniyah town hall",35.122498,31.9368222,2419.07018973454,3716.35089040864,156
"Ni'lin Munucipility",35.0217574,31.9459532,2409.09530418861,3715.49952273588,157
"Alshama'a Hall",35.2625416,32.0373537,2430.42346225034,3730.43934851433,158
"Bir Nabalah Grand Hall",35.195141,31.8490917,2428.06156919946,3707.73461735516,159
"Kufor Ein Town Hall",35.1227045,32.0467372,2416.66141037715,3728.86128447027,160
"Jawharat Al Ram Hall",35.2281189,31.8499286,2431.24750297173,3708.45271660137,161
"صالات بدران",35.2074955,31.8887861,2428.3834997155,3712.48638356652,162
"Selwad Municipality",35.2612129,31.9817203,2431.53420991965,3724.08197895009,163
"قاعة قصر الريفيرا",35.2064444,31.888974,2428.27725686012,3712.48791420489,164
"Taj Mahal Hall",35.2059153,31.8510583,2429.06498051231,3708.16184730012,165
"قاعة الدار البيضاء",35.2034752,31.9004416,2427.73497440925,3713.73715100485,166
"Bait Iksa Council",35.1810375,31.8168841,2427.40230507693,3703.802285349,167
"Al Rabe' Hall",35.2268393,31.8499629,2431.12240078115,3708.43243290472,168
"Ras Atiyah Village Council",34.9912625,32.1577445,2401.48479723325,3739.01720928031,169
"Shahwan Family Hall",34.9773465,32.1641166,2399.99844137944,3739.48109710942,170
"Mardawi Family Hall",34.9788556,32.1640287,2400.14633721245,3739.49936223837,171
"Hablah Village Council",34.9772576,32.1655547,2399.95818401902,3739.64295292214,172
"Al Doiof Hall For Wedding Party",35.1351621,32.1969941,2414.53474785491,3746.18924678238,173
"Jit Village Council",35.1706583,32.2158913,2417.5469094459,3749.01047249186,174
"Hajjah Village Council",35.1307738,32.2017353,2414.00494974504,3746.64557509721,175
"Community Center",35.0911069,32.1792378,2410.66779020028,3743.33804097043,176
"Qalqilia Governor Office",34.9727499,32.1897811,2398.98883865553,3742.31314293283,177
"Radad Family Hall",35.0400672,32.0967096,2407.55316075299,3732.99142701985,178
"ديوان ال زبيدية",35.1774249,32.0870132,2421.06977502131,3734.47694266549,179
"Shtayeh Family Hall",35.1812172,32.0816361,2421.55661450163,3733.93688350748,180
"Haris Village Council",35.1391872,32.1134255,2416.78025290654,3736.7591606285,181
"Hajja Family Hall",35.1386595,32.131784,2416.32174016452,3738.83765659902,182
"Mousa Family Hall",35.0252698,32.0642572,2406.83531978171,3729.02270043563,183
"Sarta Village Council",35.0919571,32.104001,2412.4161319986,3734.79642741659,184
"Shahada Family",35.0433921,32.0776954,2408.29439356739,3730.89116304779,185
"Al Abadlah Family Hall",35.0264901,32.0643981,2406.95041136347,3729.06160639634,186
"Al Al Qasim Family Hall",35.0237409,32.0667971,2406.6313182642,3729.28292468208,187
"Al Rasheed Hall",35.0873358,32.1160616,2411.70189714195,3736.08128738056,188
"ديوان بلدية سلفيت",35.1767284,32.0818306,2421.11745718453,3733.87409707181,189
"Husen Family Hall",35.1942897,32.1360346,2421.61239276334,3740.37368141199,190
"'Illar Municipality",35.1070327,32.3726445,2407.90680604395,3765.63224909774,191
"Husen Family New Hall",35.1824488,32.1391308,2420.39722117197,3740.50163372378,192
"Palestine Hall For Wedding Party",35.0425348,32.0961425,2407.80458137668,3732.97325474551,193
"Shahen Family Hall",35.0369917,32.3354279,2401.97531667034,3760.07873681916,194
"Safarin Village Council",35.1066,32.2647314,2410.26769099425,3753.35338390938,195
"Village Council",35.1506751,32.2861192,2414.04980031997,3756.6194943688,196
"Municipal Building",35.109933,32.2986303,2409.83557307262,3757.27126058068,197
"Dair Al Ghson Municipality",35.0730294,32.3491507,2405.14866079314,3762.31845526962,198
"Fahmawi Family Hall",35.0602475,32.3206785,2404.54761834383,3758.84015786202,199
"Bait Lid Municipality",35.133682,32.2598263,2412.99377603261,3753.30753734269,200
"Nazlat Issa Village Council",35.0579357,32.416399,2402.19639667942,3769.67854081634,201
"Dakka Family Hall",35.0717824,32.3679394,2404.61038650899,3764.4310169582,202
"Kufr Jammal Village Council",35.0453953,32.2252426,2405.2287660555,3747.70897009002,203
"Tulkarm Municipality",35.0250419,32.3096369,2401.39358397277,3756.92165536868,204
"Zita Village Council",35.0487829,32.3855187,2402.00061133116,3765.99544134194,205
"Baqa Municipality",35.0741544,32.4100203,2403.90237104448,3769.25977343463,206
"Palestine Hall For Wedding Party",35.1084978,32.3005871,2409.65340753919,3757.4666451006,207
"Al Shohada' Hall",35.1175421,32.3836093,2408.67620646447,3767.0778477424,208
"Zafir Family Hall",35.1504358,32.2849844,2414.0519889738,3756.48590242176,209
"Al Manar Hall For Wedding Party",35.1064543,32.3741153,2407.81820466767,3765.78853089395,210
"صالات الوادي للافراح",35.067134,32.4013912,2403.4174948085,3768.14618855436,211
"Ktaba Local Council",35.0550948,32.3257445,2403.93768644925,3759.31897986342,212
"Golden Palas Hall For Wedding Party",35.103146,32.3249634,2408.59399682631,3760.13730444219,213
"مركز الشرطة",35.0296868,32.3031009,2401.98688918973,3756.26598703323,214
"Abu Hamdah Family Hall",35.0486713,32.3872105,2401.95223739428,3766.18565766364,215
"Al Sha'rawiah Service Council",35.0692195,32.3628173,2404.47703911221,3763.80030234136,216
"Shadid Family Hall",35.1081989,32.3703457,2408.07058698025,3765.39294692102,217
"Saida Village Council",35.1174981,32.3835319,2408.6736886748,3767.06821435976,218
"Al-Ras Village Council",35.0636457,32.2523196,2406.39272241102,3751.13156622834,219
"Al Ammar Family Hall",35.0814538,32.4320229,2404.11582049942,3771.89899091714,220
"Attil Municipality",35.0706004,32.3678512,2404.49830198944,3764.39867146046,221
"Saraya Shereen Wedding Halls & Suite",35.0290888,32.3021437,2401.95035701293,3756.14590801865,222
"Allar Public Hall",35.1069444,32.3734227,2407.8809353229,3765.71905759845,223
"Al Nazlah Al Sharkiah Village Council",35.1081833,32.4110965,2407.16002504392,3770.02576709048,224
"Kafr Sur Village Council",35.0647768,32.2441849,2406.68238082668,3750.22786240873,225
"Yazid Family Hall",35.1176772,32.3091213,2410.34989950047,3758.61067495426,226
"Abna' Shwaikah Forum",35.036404,32.3380897,2401.85953620732,3760.37027571894,227
"Kadama Family Hall",35.0707778,32.2262163,2407.66071974183,3748.29761248299,228
"Bal'a Municipality",35.1094842,32.3315621,2409.05896344462,3761.00746624679,229
"Qufeen Municipality",35.0849792,32.4325482,2404.44398287091,3772.02537871576,230
"Anabta Municipality",35.1135526,32.309099,2409.95208090309,3758.53013036989,231
"Zita Municipality",35.0531339,32.3858283,2402.41342216758,3766.1127177413,232
"Abd Al Daim Family Hall",35.1172205,32.3080221,2410.33027702395,3758.4770420638,233
"Saida New Village Council",35.1227404,32.3874752,2409.09142839737,3767.61584354624,234
"Kafr Allubad Municipality",35.1101581,32.2988707,2409.85196306539,3757.30285279944,235
"Kufr Zibad Village Council",35.0721881,32.2255699,2407.81137519854,3748.25067871522,236
"Faroun Village Council",35.0249504,32.288577,2401.85124143662,3754.52561994373,237
"Zidan Family Hall",35.1497416,32.2861912,2413.95801144799,3756.60999882661,238
"Raba Council",35.3835751,32.3873622,2434.2655594523,3772.58021201585,239
"Kufeir Council",35.340276,32.3731678,2430.40664195698,3770.13417778063,240
"Aletalia Town Hall",35.3980859,32.4919819,2433.29125066014,3784.76105817894,241
"Dewan Al- Zaid",35.2329348,32.4843966,2417.54381588331,3780.73138422616,242
"Borken Minicapilty",35.2575138,32.454139,2420.59477342077,3777.76001864827,243
"Zababdeh Municipality",35.3258792,32.3834247,2428.78521051391,3771.02506891471,244
"Al-Ameer Town Hall",35.300053,32.4672234,2424.40105684093,3780.06179516773,245
"Amr Hall",35.2996122,32.4834761,2423.99127599193,3781.90173473672,246
"Nour Rehabilitaion center for the visuallty impaired",34.4439344,31.5160449,2362.15941179246,3656.00706147174,247
"Al Bshaer Wedding Hale",34.4860812,31.5166034,2366.25267821291,3656.82929942387,248
"az-Az-Zawayda",34.3680982,31.4289495,2356.59203085788,3644.74597463189,249
"AlNaeem Wedding Hall",34.289773,31.3272867,2351.0644442152,3631.79296794498,250
"עיריית נתניה",34.8664307,32.2893519,2386.52807457075,3751.64522590646,251
"עיריית פתח תקוה",34.8885942,32.0873828,2393.09427614722,3729.0995178855,252
"עיריית נתניה",34.8545015,32.3287588,2384.5117879137,3755.9011963867,253
"מועצה מקומית מעוז ציון",35.1457937,31.7940825,2424.47872079632,3700.54329913018,254
"מועצה אזורית חוף הכרמל",34.9577459,32.6763677,2386.76405796544,3797.32988987553,255
"מועצה אזורית מבואות החרמון",35.5695688,33.1182986,2435.33807971749,3859.30979150499,256
"מועצה אזורית מנשה",35.0132774,32.4671887,2396.76217336316,3774.60903642804,257
"מועצה אזורית בקעת הירדן",35.4935791,32.1007208,2451.39574160859,3742.07201183484,258
"מועצה אזורית רמת נגב",34.7705054,31.0042989,2404.84882320951,3603.68059415504,259
"עיריית אילת",34.9508118,29.5561272,2452.79549208343,3441.75237055096,260
"מועצה אזורית חוף אשקלון",34.5963813,31.645897,2374.25515346643,3673.5268539479,261
"עיריית אופקים",34.6209886,31.3151842,2383.65491096184,3636.35725456685,262
"קרית עקרון",34.8230526,31.8610183,2391.66590960894,3702.14379393804,263
"עירית הוד השרון",34.8946557,32.1589823,2392.11386948461,3737.35261707249,264
"Assa'ed Family Hall",35.0953857,31.5506497,2424.90431933977,3671.88366491349,265
